surface,file,line,path_expression,notes
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/auditlog/infrastructure/http/AuditLogBackofficeRoutes.scala,35,"      .in(basePath / ""audit-logs"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/auditlog/infrastructure/http/AuditLogBackofficeRoutes.scala,36,"      .in(EndpointInputs.pagination.queryParams)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,48,"      .in(basePath / ""markets"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,49,"      .in(EndpointInputs.pagination.queryParams)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,54,"    adminEndpoint.get.in(basePath / ""markets"" / ""migrate"" / path[String](""beforeDate"")).out(statusCode(StatusCode.Ok))","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,58,"      .in(basePath / ""markets"" / marketId)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,64,"      .in(basePath / ""markets"" / marketId)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,65,"      .in(jsonBody[MarketInfoUpdateRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,70,"      .in(basePath / ""markets"" / ""visibility"" / ""change"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,71,"      .in(jsonBody[MarketChangeVisibilityRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,76,"      .in(basePath / ""markets"" / ""categories"" / path[SportId])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,77,"      .in(EndpointInputs.pagination.queryParams)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,83,"      .in(basePath / ""markets"" / marketId / ""lifecycle"" / ""settle"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,84,"      .in(jsonBody[MarketSettlingRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,89,"      .in(basePath / ""markets"" / marketId / ""lifecycle"" / ""resettle"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,90,"      .in(jsonBody[MarketResettlingRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,95,"      .in(basePath / ""markets"" / marketId / ""lifecycle"" / ""freeze"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,100,"      .in(basePath / ""markets"" / marketId / ""lifecycle"" / ""unfreeze"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/MarketBackofficeRoutes.scala,105,"      .in(basePath / ""markets"" / marketId / ""lifecycle"" / ""cancel"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,42,"    .in(basePath / ""fixtures"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,43,"    .in(EndpointInputs.fixtureFilter.queryParams)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,44,"    .in(EndpointInputs.fixtureOrdering.queryParam)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,45,"    .in(EndpointInputs.pagination.queryParams)","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,51,"      .in(basePath / ""fixtures"" / path[FixtureId])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,57,"      .in(basePath / ""sports"" / path[SportId] / ""fixtures"" / path[FixtureId])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/FixtureBackofficeRoutes.scala,58,"      .in(jsonBody[FixtureInfoUpdateRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/bets/infrastructure/http/BetBackofficeRoutes.scala,36,"      .in(basePath / ""bets"" / betId / ""cancel"")","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/bets/infrastructure/http/BetBackofficeRoutes.scala,37,"      .in(jsonBody[CancelBetRequest])","extracted from .in(...) definition"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/http/routes/backoffice/TournamentBackofficeRoutes.scala,28,"      .in(basePath / ""tournaments"" / tournamentId / ""make-displayable"")","extracted from .in(...) definition"
