surface,repo,package,page_file,route_pattern,notes
talon_backoffice,phoenix-frontend,office,"_app.js","/_app","nextjs framework file"
talon_backoffice,phoenix-frontend,office,"_document.tsx","/_document","nextjs framework file"
talon_backoffice,phoenix-frontend,office,"account/security/index.tsx","/account/security","page"
talon_backoffice,phoenix-frontend,office,"account/settings/index.tsx","/account/settings","page"
talon_backoffice,phoenix-frontend,office,"auth/index.tsx","/auth","page"
talon_backoffice,phoenix-frontend,office,"index.tsx","/","page"
talon_backoffice,phoenix-frontend,office,"logs/index.tsx","/logs","page"
talon_backoffice,phoenix-frontend,office,"not-authorized/index.tsx","/not-authorized","page"
talon_backoffice,phoenix-frontend,office,"risk-management/fixtures/[id].tsx","/risk-management/fixtures/:id","page"
talon_backoffice,phoenix-frontend,office,"risk-management/fixtures/index.tsx","/risk-management/fixtures","page"
talon_backoffice,phoenix-frontend,office,"risk-management/index.tsx","/risk-management","page"
talon_backoffice,phoenix-frontend,office,"risk-management/market-categories/index.tsx","/risk-management/market-categories","page"
talon_backoffice,phoenix-frontend,office,"risk-management/markets/[id].tsx","/risk-management/markets/:id","page"
talon_backoffice,phoenix-frontend,office,"risk-management/markets/index.tsx","/risk-management/markets","page"
talon_backoffice,phoenix-frontend,office,"terms-and-conditions/index.tsx","/terms-and-conditions","page"
talon_backoffice,phoenix-frontend,office,"users/[id].tsx","/users/:id","page"
talon_backoffice,phoenix-frontend,office,"users/index.tsx","/users","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"_app.js","/_app","nextjs framework file"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"_document.tsx","/_document","nextjs framework file"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"about/index.tsx","/about","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"account/bet-history/index.tsx","/account/bet-history","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"account/index.tsx","/account","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"account/notifications/index.tsx","/account/notifications","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"account/responsible-gaming/index.tsx","/account/responsible-gaming","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"account/responsible-gaming/self-exclude/index.tsx","/account/responsible-gaming/self-exclude","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"account/rg-history/index.tsx","/account/rg-history","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"account/security/index.tsx","/account/security","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"account/settings/index.tsx","/account/settings","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"account/transactions/index.tsx","/account/transactions","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"betting-rules/index.tsx","/betting-rules","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"bonus-rules/index.tsx","/bonus-rules","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"cashier/index.tsx","/cashier","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"cashier/transaction/cheque/index.tsx","/cashier/transaction/cheque","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"cashier/transaction/index.tsx","/cashier/transaction","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"contact-us/index.tsx","/contact-us","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"custom/index.tsx","/custom","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"esports-bets/[gameFilter]/competition/[competitionId].tsx","/esports-bets/:gameFilter/competition/:competitionId","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"esports-bets/[gameFilter]/index.tsx","/esports-bets/:gameFilter","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"esports-bets/[gameFilter]/match/[fixtureId].tsx","/esports-bets/:gameFilter/match/:fixtureId","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"esports-bets/index.tsx","/esports-bets","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"index.tsx","/","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"privacy-policy/index.tsx","/privacy-policy","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"profile/index.tsx","/profile","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"promotions/index.tsx","/promotions","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"reset-password/index.tsx","/reset-password","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"responsible-gaming/index.tsx","/responsible-gaming","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"stream-bets/index.tsx","/stream-bets","page"
sportsbook_frontend,phoenix-frontend-brand-viegg,app,"terms-and-conditions/index.tsx","/terms-and-conditions","page"
