repo,file,line,pattern,severity,classification,snippet
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend","dev/keycloak/users/local/passwords_local.yaml","1","fixed_password_literal","medium","dev_fixture","fixedPassword: 'Password123!'"
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend","Jenkinsfile","607","password_assignment_literal","low","env_placeholder","                sh 'argocd login argocd.dev.phoenix.darkstormlabs.net --username=""$ARGOCD_USERNAME"" --password=""$ARGOCD_PASSWORD"" --grpc-web'"
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend","README.md","785","password_assignment_literal","low","docs_command","argocd login --name=""$(kubectx -c)"" --username=admin --password=""$(kubectl get secret -n argocd argocd-initial-admin-secret -o jsonpath={.data.password} | base64 -d)"" --plaintext --port-forward --port-forward-namespace=argocd"
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend","contract-tests/src/contract/scala/phoenix/TestUser.scala","27","password_assignment_literal","low","test_fixture","    val credentials = UserCredentials(username = s""contract_tests_${randomString()}"", password = ""Th3P@ssw0rd!"")"
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend","data-pipeline/betgenius/lib/src/test/scala/phoenix/betgenius/infrastructure/http/AkkaHttpBetgeniusRestApiSpec.scala","131","password_assignment_literal","low","test_fixture","      password = ""test_password"","
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend","data-pipeline/oddin/app/deploy/remote/slick.conf.yaml.template","13","password_assignment_literal","low","env_placeholder","        password = ""[changeme]"""
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend","data-pipeline/oddin/lib/src/main/resources/reference.conf","51","password_assignment_literal","low","env_placeholder","    password = ""betgenius-api-password"""
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend","services/src/main/resources/punters.conf","77","password_assignment_literal","low","env_placeholder","    ssn-encryption-password = ""[i-should-be-set-from-env]"""
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend","services/src/main/resources/pxp.conf","12","password_assignment_literal","low","env_placeholder","  password = ""[i-should-be-replaced-by-env-var]"""
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend","services/src/main/resources/pxp.conf","16","password_assignment_literal","low","env_placeholder","  webhook-password = ""[i-should-be-replaced-by-env-var]"""
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/talon-backoffice","Jenkinsfile","466","password_assignment_literal","low","env_placeholder","                sh 'argocd login argocd.dev.phoenix.viegg.net --username=""$ARGOCD_USERNAME"" --password=""$ARGOCD_PASSWORD"" --grpc-web'"
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/talon-backoffice","packages/mock-server/src/mocked_data/auth.ts","77","password_assignment_literal","low","test_fixture","    password: ""spinning-roundhouse-to-the-throat"","
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/talon-backoffice","packages/mock-server/src/mocked_data/profile.ts","4","password_assignment_literal","low","test_fixture","  password: ""Qwerty!23!"","
"/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-frontend-brand-viegg","Jenkinsfile","425","password_assignment_literal","low","env_placeholder","                sh 'argocd login argocd.dev.phoenix.darkstormlabs.net --username=""$ARGOCD_USERNAME"" --password=""$ARGOCD_PASSWORD"" --grpc-web'"
