surface,file,line,path_expression,notes
dev,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/softplay/infrastructure/http/DevSoftPlayRoutes.scala,35,"      .in(""soft-play-report"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/auditlog/infrastructure/http/AuditLogBackofficeRoutes.scala,35,"      .in(basePath / ""audit-logs"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/bets/infrastructure/http/BetBackofficeRoutes.scala,36,"      .in(basePath / ""bets"" / betId / ""cancel"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PxpTapirEndpoints.scala,23,"      .in(""pxp"" / ""payment-state-changed"" / ""handlePaymentStateChangedNotification"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/payments/infrastructure/http/PxpTapirEndpoints.scala,32,"      .in(""pxp"" / ""verify-cash-deposit"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,212,"      .in(""login"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,226,"      .in(""login-with-verification"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,235,"      .in(""logout"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,242,"      .in(""punters"" / ""cool-off"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,251,"      .in(""punters"" / ""self-exclude"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,260,"      .in(""punters"" / ""deposit-limits"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,270,"      .in(""punters"" / ""session-limits"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,280,"      .in(""punters"" / ""stake-limits"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,290,"      .in(""punters"" / ""limits-history"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,300,"      .in(""punters"" / ""cool-offs-history"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,307,"      .in(""punters"" / ""current-session"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,313,"      .in(""registration"" / ""sign-up"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,323,"      .in(""registration"" / ""answer-kba-questions"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,334,"      .in(""registration"" / ""start-idpv"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,340,"      .in(""registration"" / ""check-idpv-status"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,348,"      .in(""password"" / ""forgot"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,357,"      .in(""password"" / ""reset"" / path[UUID])","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,367,"      .in(""password"" / ""change"")","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,372,"    endpointWithError.in(""account"" / ""activate"" / path[UUID]).put.out(statusCode(StatusCode.Ok))","path-related .in(...) route expression"
rest,/Users/johnb/Desktop/PhoenixBotRevival/Phoenix-Sportsbook-Combined/phoenix-backend/services/src/main/scala/phoenix/punters/infrastructure/http/PunterTapirEndpoints.scala,379,"      .in(""verification"" / ""request"")","path-related .in(...) route expression"
